F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,KELAS
0.026081419,0.022509057,0.026383012,0.02214405,0.019672585,0.022509057,0.019786096,0.02214405,0.016933457,0.017359494,0.016979831,0.017072363,3.794850879,4.725702518,3.347667364,4.953697002,6.393625393,4.725702518,5.945193153,4.953697002,8.150038848,7.638243365,7.83248114,7.866789622,56.18659028,82.19768841,40.67268201,88.86112241,147.3675518,82.19768841,123.0349681,88.86112241,222.543873,199.120603,202.2803363,204.6089086,0.408862258,0.339622864,0.418171225,0.329619406,0.278719002,0.339622864,0.283845168,0.329619406,0.220221586,0.229795779,0.223883125,0.2220293,61.70799279,49.46526151,115.3416278,47.85543284,125.20742,55.48052245,2446.812096,2290.142453,3078.088372,0.001469955,1.52E-07,4.60E-11,4.01E-12,-5.02E-23,1.32E-15,2.10E-23,Cheetah
0.031839615,0.028200691,0.032462791,0.02854188,0.026118692,0.028200691,0.026374425,0.02854188,0.023712407,0.023484682,0.023822054,0.024041091,11.87403893,14.85831624,10.37857981,14.12116551,18.70109186,14.85831624,16.87256637,14.12116551,22.38956216,22.13196997,20.8723572,20.82740283,455.5810438,773.7599547,397.2173899,638.9735324,1115.037556,773.7599547,1001.279133,638.9735324,1560.033829,1586.236771,1429.827509,1343.073806,0.263122015,0.221041316,0.265669903,0.223551055,0.20009336,0.221041316,0.194404939,0.223551055,0.171455709,0.163133249,0.161742935,0.168710318,92.3811422,34.08297971,161.8924021,50.4916854,134.8079354,43.36686929,1161.649506,2549.410294,1880.685352,0.001347319,4.13E-07,3.33E-12,3.05E-12,7.13E-24,1.33E-15,-6.61E-24,Cheetah
0.029604189,0.020038387,0.020694491,0.019491865,0.022159224,0.020038387,0.015989271,0.019491865,0.019087295,0.015640113,0.014215686,0.015235307,5.592551985,9.667284142,7.997665173,9.278748949,10.00621212,9.667284142,13.77511713,9.278748949,13.30566097,15.75123297,17.6101963,15.40277354,159.2976055,385.2566147,233.4865653,321.2558117,487.1191288,385.2566147,666.1596809,321.2558117,794.4967173,913.1360586,1010.87032,814.4173658,0.334983544,0.178430259,0.191024291,0.170529464,0.213934257,0.178430259,0.117478078,0.170529464,0.165281874,0.112513848,0.092005436,0.106853958,128.4628805,37.87082604,173.963434,43.00364658,181.9131698,46.89512139,1434.199465,1849.313619,2199.15241,0.001112142,3.80E-07,1.34E-12,6.00E-13,4.13E-25,1.72E-16,-3.45E-25,Cheetah
0.029681738,0.016618809,0.016801637,0.016549059,0.021894838,0.016618809,0.014284169,0.016549059,0.018850002,0.014278922,0.013662379,0.014104002,5.922903687,12.3445686,11.62508929,12.82532312,10.02645962,12.3445686,16.73184511,12.82532312,12.84709893,17.29907418,18.78278602,18.13791332,219.6500346,461.6516329,382.7758528,532.1915174,546.4554457,461.6516329,795.4792873,532.1915174,775.7954274,879.0560967,994.1470532,975.2779803,0.313798164,0.120444878,0.124165195,0.118517788,0.190764147,0.120444878,0.085947158,0.118517788,0.14557159,0.085614633,0.076331088,0.083253473,83.90211367,26.87069471,116.6557849,34.18549847,148.2758863,39.66376649,722.0342339,1168.648306,1573.214372,0.001483632,3.81E-07,9.22E-12,4.87E-12,-2.06E-23,1.94E-15,-2.52E-23,Cheetah
0.011192317,0.009510326,0.010487067,0.009685505,0.00921668,0.009510326,0.008978383,0.009685505,0.008778395,0.008597106,0.008628506,0.008702277,16.14316718,22.24282113,16.63512416,20.65495979,25.94242714,22.24282113,25.89807471,20.65495979,30.99723379,31.47808788,30.50332373,29.7681688,627.4846888,1114.355971,593.5362034,934.7713524,1604.474238,1114.355971,1468.10977,934.7713524,2254.924326,2238.986295,2067.484159,1979.127287,0.090159314,0.062259288,0.080444423,0.065154395,0.057211992,0.062259288,0.053490792,0.065154395,0.049602311,0.046225735,0.047122042,0.048373605,87.32902857,48.82677093,129.8685619,48.03922287,139.7525429,55.67263732,2384.053559,2307.766934,3099.442546,0.001492727,6.16E-07,4.71E-12,2.32E-12,5.49E-24,1.80E-15,5.38E-24,Cheetah
0.035460062,0.031298841,0.037028625,0.031507381,0.027829423,0.031298841,0.029147398,0.031507381,0.024513893,0.02521744,0.025725268,0.025553042,7.024873764,8.196750121,6.897076552,8.182205208,9.937130473,8.196750121,9.578465164,8.182205208,11.38971727,11.07968067,10.94265837,10.82986144,168.88494,215.094107,164.0082842,215.6812011,302.4074195,215.094107,283.6062978,215.6812011,370.4675129,361.0029021,346.7259214,343.4470217,0.320815456,0.273959036,0.332120057,0.275936347,0.233554639,0.273959036,0.246435078,0.275936347,0.195116743,0.202707947,0.207285538,0.20569871,58.2044048,44.78205096,170.1285437,54.16740151,197.2761498,52.76457215,2005.432088,2934.107386,2784.100074,0.001237527,4.00E-07,3.80E-13,2.13E-13,-5.56E-26,1.07E-16,-2.45E-26,Cheetah
0.028373697,0.023210205,0.025533791,0.022879733,0.021896193,0.023210205,0.019475308,0.022879733,0.019319724,0.018200109,0.016926433,0.017976823,10.8553467,14.57033051,11.08229933,14.48535218,18.06742881,14.57033051,18.02961409,14.48535218,21.74470193,21.66502816,21.83122896,21.50789181,442.9089307,775.5982012,448.0210284,730.3859398,1146.702035,775.5982012,1099.393557,730.3859398,1567.21817,1527.131016,1497.654646,1469.341253,0.274120051,0.204160825,0.237306773,0.200389593,0.188303444,0.204160825,0.154262204,0.200389593,0.151943309,0.136161356,0.11848007,0.132853729,33.92504167,25.13574857,74.52810833,45.14639088,91.39916667,53.86776911,631.8058562,2038.19661,2901.736549,0.002059216,4.22E-07,4.57E-11,2.14E-11,-9.44E-23,-8.20E-15,-6.63E-22,Cheetah
0.010739349,0.009997833,0.011170569,0.009969044,0.009326322,0.009997833,0.009475369,0.009969044,0.008992577,0.009044634,0.009050623,0.009028637,17.28732176,20.11562243,15.54705945,20.17514602,24.08632086,20.11562243,22.84266667,20.17514602,26.82685408,26.22431437,26.06453655,26.25181206,562.2990975,740.9759653,450.6225544,742.2905865,1050.131075,740.9759653,943.2322838,742.2905865,1301.29139,1247.244475,1226.793331,1233.996615,0.070605704,0.058968309,0.076969025,0.059399429,0.048597724,0.058968309,0.051535657,0.059399429,0.043413448,0.044834342,0.044979399,0.044661434,91.31140533,32.52744802,129.859536,39.94305197,161.384808,44.1227822,1058.034875,1595.447401,1946.819909,0.001337666,2.77E-07,8.95E-13,1.38E-14,4.70E-28,-8.65E-19,-1.46E-27,Cheetah
0.022972964,0.014337319,0.016555045,0.014422932,0.017474803,0.014337319,0.013052274,0.014422932,0.015180928,0.009904986,0.01149905,0.010024911,9.122791955,18.88498347,16.11426221,17.82156567,16.31914848,18.88498347,26.42172524,17.82156567,21.64401372,29.96163463,31.83683226,28.36263584,370.0047275,999.5717438,677.0195064,858.7851249,1078.140681,999.5717438,1733.049649,858.7851249,1691.971833,2215.292931,2420.702153,1984.121384,0.240215228,0.096860037,0.109927255,0.099224052,0.150049872,0.096860037,0.071057469,0.099224052,0.113362808,0.057442608,0.058347339,0.061038578,102.748545,44.32765285,127.8423757,57.68650522,158.3981005,71.95317317,1964.940807,3327.732885,5177.25913,0.001608343,8.94E-07,4.74E-12,7.87E-12,2.45E-23,6.64E-15,-4.14E-23,Cheetah
0.022777506,0.020913801,0.023026444,0.020933373,0.02050229,0.020913801,0.020101365,0.020933373,0.01945745,0.019144762,0.019078576,0.019169081,11.95738624,14.17138494,10.6738494,14.6855639,17.11623672,14.17138494,15.80275529,14.6855639,19.83658105,19.66904476,19.06811515,19.61942028,449.3587114,595.7412355,358.9751386,657.7722674,843.2194242,595.7412355,683.2552508,657.7722674,1053.623567,1010.111127,937.0496667,1016.774749,0.19720096,0.166550831,0.20045742,0.16725821,0.155152651,0.166550831,0.15187172,0.16725821,0.138497817,0.133289722,0.133721466,0.134126998,108.1283003,69.62227394,140.9595676,56.07664595,139.2965105,61.46574664,4847.261029,3144.590221,3778.038009,0.001354484,1.81E-07,1.76E-11,9.50E-12,1.08E-22,-3.38E-15,5.88E-23,Cheetah
